Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so,dp,stp,bg1,bg2,bg3,daw,esasha,esgshg,gwgshog,gwgshogdg,sta,stg,stg2,stp2,hb,netfow,shg2sha,stpgwg,tkagva,hat,hatshp,fight,ghht,ota,otp,bap,1s,2s,3s,fp,g_toi
"Matt Hendricks",LW,3,0.071,39,0,365,8.69,3,0,0,4,7,1,0.569,232,100,132,4,0.095,0,42,9,1,79,1,0,12,0,9,0,7,0.167,29,-3,0,0,0,0,0,0,0,0,1,16.286,46,1.095,0,0,0,0,684,0.095,42,0,10,441.21,10.49,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,115,3,4,1,1,0,0,0,0,118,32,0,1,1.1111,0,0,1,0,0,0,0,0,2,0,7,0
"Matt Hunwick",D,18,0.243,94,0,1119,15.122,18,0,0,1,19,0,0,0,0,0,1,0.014,0,74,50,0,98,0,0,8,0,41,0,19,0.257,18,7,0,0,0,0,0,0,0,0,1.027,25.014,165,2.23,0,0,0,0,1851,0.013,76,0,26,1354.1,18.288,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,199,18,1,0,0,0,0,0,0,192,0,0,0,0.5200,0,0,0,0,0,0,0,0,1,0,0,0
"Matt Irwin",D,11,0.145,126,0,1094,14.395,9,0,0,3,12,0,0,0,0,0,3,0.039,0,76,41,1,121,0,0,13,0,43,0,14,0.184,26,16,1,0.013,0,0,0,0,0,0,1.329,22,64,0.842,2,0,0,0,1672,0.03,101,2,18,1216.24,15.991,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,1,4,263,11,3,1,1,2,0,0,4,247,0,2,3,0.4390,0,2,0,0,0,0,0,1,0,0,0,0
"Matt Lorito",LW,1,0.5,0,0,26,13,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,3,18.5,0,0,0,0,0,0,37,0,6,0,1,14.67,7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0
"Matt Martin",LW,6,0.071,28,0,683,8.131,6,0,0,5,11,1,0,11,11,0,5,0.06,0,84,15,0,320,13,0,20,2,31,0,11,0.131,125,1,0,0,0,0,0,0,0,0,0.798,13.774,14,0.167,0,0,0,0,1157,0.075,67,0,16,744.05,8.856,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,349,6,5,0,0,0,0,0,0,348,-11,0,0,1.0667,0,0,13,0,1,1,0,0,0,0,11,0
"Matt Moulson",LW,18,0.222,18,0,725,8.951,11,0,0,3,14,3,0.25,4,3,1,14,0.173,0,81,12,2,37,0,0,5,0,40,0,32,0.395,10,-4,134,1.654,7,0,0,11,18,0,1.654,14.346,0,0,0,0,0,0,1162,0.104,134,0,18,928.67,11.463,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,13,16,51,11,3,2,2,7,11,11,18,55,-2,0,20,1.5000,0,0,0,0,0,0,0,0,0,1,32,0
"Matt Murray",G,2,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705.88,55.222,0,0,0,0,47,32,10,4,1450,111,2.46,1339,0.923,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,5,0,2,5,2,0,2705.88
"Matt Niskanen",D,35,0.438,95,0,1398,17.475,26,0,0,4,30,0,0,0,0,0,5,0.063,0,80,71,2,164,0,0,16,0,65,0,40,0.5,32,21,106,1.325,8,0,0,1,9,0,1.963,26.288,173,2.163,1,0,0,0,2103,0.032,157,1,36,1763.49,22.032,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,3,3,7,280,27,4,2,2,9,1,1,11,259,0,1,12,0.5070,0,1,0,0,2,2,0,1,2,4,0,0
"Matt Puempel",LW,3,0.075,12,0,338,8.45,3,0,0,3,6,1,0,1,1,0,6,0.15,0,40,6,1,28,1,0,3,0,19,0,9,0.225,11,-11,17,0.425,0,0,0,3,3,0,1.1,14.575,0,0,0,0,0,0,583,0.136,44,0,8,376.76,9.419,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,29,3,3,1,1,0,3,3,3,40,-1,0,4,1.3333,1,1,1,0,0,0,0,1,0,1,9,0
"Matt Read",RW,9,0.143,32,0,740,11.746,9,0,0,7,16,1,0.333,15,10,5,10,0.159,0,63,18,2,95,0,0,4,0,32,0,19,0.302,8,3,27,0.429,0,0,0,2,2,0,1.46,19.349,35,0.556,0,0,0,1,1219,0.109,92,1,21,856.5,13.589,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,12,130,9,8,2,2,0,3,4,4,127,-5,2,5,1.1667,0,1,0,0,0,0,0,1,1,0,19,0
